OBJECTID,SAP_FUNCTIONAL_LOCATION,ITEM_DESCRIPTION,ITEM_TYPE,PARK_NUMBER,PARK_NAME,SUBURB,LONG,LAT,SHAPE_Length,SHAPE_Area
42,B-RE-1526-N001,EKIBIN PK WAR MEMORIAL,CULTURAL HERITAGE SITE,D0399,EKIBIN MEMORIAL PARK,TARRAGINDI,153.045574625519,-27.5206272237735,51.1209173885797,159.435980738453
43,B-RE-2669-N001,INCAPACITATED SERVICEMEN & WOMEN MEMORIAL,CULTURAL HERITAGE SITE,D0943,I. S. A.  MEMORIAL PARK,INALA,152.971343082955,-27.5960615611921,107.817272568991,768.837015877171
44,B-RE-1684-N009,ANZAC CENTENARY MEMORIAL SITE,CULTURAL HERITAGE SITE,D0518,GEORGE CLAYTON PARK,MANLY,153.183965513367,-27.4462494057794,10.6458628229744,6.99765278807507
45,B-RE-1370-N004,TOOWONG SOLDIERS MEMORIAL & CIRCLE OF PALMS,CULTURAL HERITAGE SITE,D0471,TOOWONG MEMORIAL PARK,TOOWONG,152.99430900769,-27.4795650368847,356.440654064954,5776.57478023625
46,B-RE-1830-N002,SHRINE OF REMEMBRANCE,CULTURAL HERITAGE SITE,D0082,ANZAC SQUARE,BRISBANE CITY,153.026403838453,-27.4662734066336,198.619492605367,1014.23721749283
47,B-RE-2631-N001,PINKENBA MEMORIAL PLACE,CULTURAL HERITAGE SITE,D0992,PINKENBA MEMORIAL PLACE PARK (ROAD RESER,PINKENBA,153.118826843512,-27.4235501253821,87.4101847978186,395.245333048382
48,B-RE-1761-N007,KEDRON SHIRE WWI MEMORIAL GATES,CULTURAL HERITAGE SITE,D0227,MARCHANT PARK,ASPLEY,153.029358381,-27.3784033749999,59.3313425017607,63.5720986425308
49,B-RE-1431-N003,MANLY WAR MEMORIAL,CULTURAL HERITAGE SITE,D0525,RICHARD RUSSELL PARK,MANLY,153.182831699835,-27.4554267801263,160.019097299017,1148.47399842919
50,B-RE-1498-N001,WINDSOR MEMORIAL,CULTURAL HERITAGE SITE,D0506,WINDSOR MEMORIAL PARK,WINDSOR,153.0322907957,-27.4300659762866,143.743717965755,1015.53222357317
51,B-RE-1738-N012,MEMORIAL PLACE,CULTURAL HERITAGE SITE,D0160,WALTON BRIDGE RESERVE,THE GAP,152.953728160131,-27.4455119999079,215.196785230386,2166.42671302216
52,B-RE-1830-N001,ANZAC SQUARE GARDENS,CULTURAL HERITAGE SITE,D0082,ANZAC SQUARE,BRISBANE CITY,153.026694930741,-27.4665700461367,347.575410622739,5139.31435111938
53,B-RE-1719-N011,PANITYA ST MEMORIAL GATES PRECINCT,CULTURAL HERITAGE SITE,D0117,LANGLANDS PARK,COORPAROO,153.048775433659,-27.4976428241244,55.5220215215146,165.013268148332
